IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
173.245.49.241,4,4,0.00,154.98,0.00
104.16.42.210,4,4,0.00,161.48,0.00
104.16.47.65,4,4,0.00,164.65,0.00
104.16.41.247,4,4,0.00,165.42,0.00
104.16.44.242,4,4,0.00,167.00,0.00
104.16.39.222,4,4,0.00,167.65,0.00
104.16.40.81,4,4,0.00,167.73,0.00
104.16.36.222,4,4,0.00,167.78,0.00
104.16.46.134,4,4,0.00,167.79,0.00
141.101.120.181,4,4,0.00,168.15,0.00
